CONFIG_ID,NUMBER_OF_PRODUCT_SOLD,GMII,NUMBER_OF_VISIT
80009979-C,116,0.21216722174086802,165
80006713-C,84,0.103852488152235,252
80038297-C,157,0.16642709669628,508
50002726,112,0.129741059853639,391
80028347-C,392,0.10996906015440899,835
80017124-C,5806,0.079513763308657,5146
50004857,401,0.23768956298201002,724
80033114-C,5701,0.23395111467444,11436
80005046-C,2744,0.196295501917941,2211
80029700-C,2750,0.11933208934251699,5627
80008407-C,757,0.246461062992584,626
30102836,707,0.246826621134441,2006
80033145-C,187,0.18015383530641702,790
80002297-C,295,0.10959410467415899,278
80032249-C,23,0.261687009245205,144
80020694-C,866,0.181635098765227,2521
80022951-C,82,0.019452005291209,100
50002866,222,0.19179219726906502,724
80045701-C,137,0.256932284753437,547
30103446,1782,0.152116861017074,968
80022626-C,80,0.122376195208078,143
80042062-C,76,0.21782902131766602,301
80025912-C,666,0.113374024888366,2228
80040213-C,197,0.021693101191911,489
80038646-C,106,-0.042961687792282,108
80022106-C,204,0.06100341942634201,725
80027783-C,160,0.35237839501098,81
30120241,685,0.244588117880227,387
80024461-C,52,0.20447404434759803,112
80022832-C,611,0.271443933000665,1149
80044692-C,111,0.09966774160170501,405
80020340-C,61,0.148967773334374,113
80031368-C,124,0.150761752491905,165
80039442-C,74,0.084389668465421,164
80017701-C,3220,0.081271771133524,3777
80020245-C,307,0.130638034259384,248
80038054-C,934,0.202987086489535,561
80005811-C,177,0.2504695603365,297
80016317-C,16,0.053396732083982004,171
50002104,2041,0.155166300725816,1714
80008222-C,1151,0.223201076633644,1609
80022003-C,343,0.12414707028017,529
80039304-C,101,0.10618713662226201,576
80042647-C,658,0.256084568673832,1858
80035207-C,174,0.08467344923671902,304
80036219-C,561,0.21258608938841297,850
80039898-C,367,0.10791328115342401,1699
80017113-C,227,0.029692410104367004,418
80027339-C,295,0.255552214405394,728
80033077-C,7,0.037455560336280995,154
80043200-C,174,0.041478096256114996,106
80042713-C,15,0.22266223837324803,80
70500003,131,0.204065000456607,238
80044382-C,114,0.22547909378582198,750
80003057-C,135,0.3156277963604,323
80020873-C,144,0.104910869105282,487
80001885-C,746,0.280002127008859,2114
50004554,209,0.20321731455639103,472
80020576-C,118,0.15191620339125,184
80010923-C,603,0.175490344240215,578
80042663-C,512,0.064577254994338,1204
80022913-C,111,0.13943186427961998,428
80027456-C,1080,0.23969448081147,1773
30103476,1910,0.23504557098818202,4272
80017728-C,296,0.075696827801625,877
50004552,151,0.232280100563013,283
80006608-C,163,0.031033125631581,100
80029150-C,1093,0.213945939697439,1701
80019272-C,567,0.06433821200722199,1513
80003185-C,569,0.069897692589661,935
80025999-C,614,0.250783305892272,670
80020480-C,6739,0.142577944510881,2025
80039382-C,60,0.09648098329109,245
80027823-C,1505,0.161092222235309,2780
80040703-C,482,0.049719046795309994,784
80040861-C,5,0.0,24
80037411-C,2,0.0,23
80034496-C,896,-0.068493506905382,1521
30103010,9824,0.20930333627476602,11111
80043182-C,18,0.304992090465401,69
80029715-C,1031,0.140132405392946,2231
80042846-C,18,0.010033980510129,113
80043695-C,304,0.299534079345599,1004
80020093-C,1155,0.11921432259187299,3974
80039699-C,2215,-0.6455696028965661,832
80044449-C,1787,0.20435349125986102,1858
80011117-C,150,0.175422157341206,363
80036165-C,287,0.09017180691441498,416
30103648,2948,0.21273091648698103,4394
80020672-C,732,0.17591009270612804,2058
80013891-C,761,0.085552795884932,541
80040721-C,148,0.060323227544903,823
80043814-C,629,-0.002060790634405,1490
80001602-C,46,0.18433674424500598,119
80041757-C,213,0.24977174459171203,329
70002292,723,0.220465219386339,1175
80003207-C,292,0.104630966082473,357
80033919-C,172,0.27124950429336,940
50002704,3422,0.089431139425765,4768
80025179-C,113,0.039547059563511,644
80013123-C,557,0.02606234479301,1407
80045669-C,39,0.09873295165163601,110
30104810,1346,0.20288297171468697,2380
50800019,114,0.161443279742988,712
80012732-C,398,0.07817776793347299,650
80005181-C,35,0.15704557585131398,121
80041216-C,209,0.274348147047449,887
50005028,119,0.288294773474961,138
80019165-C,214,0.25408386775375,1157
80033507-C,90,0.13120300487207,201
80041375-C,34,-0.541953370511463,91
80005455-C,243,0.10217895572395301,408
80045217-C,233,-0.24506601025558397,375
80002529-C,950,0.154874684152151,2407
80046209-C,78,0.16952473249930602,817
80032828-C,1689,0.13851718242549402,5927
50002394,339,0.20106792302336202,1304
50002861,282,0.20182512915707604,563
80021691-C,124,0.33168678526767403,323
80044873-C,289,0.15931429200815697,1514
80013820-C,36,0.35472325899359897,65
80024982-C,141,0.30553740756611997,318
80037944-C,482,0.134104151529705,1722
80028215-C,157,0.20150036200824398,686
80043231-C,552,-0.060258374903272995,3684
80023196-C,193,0.32157038367097496,294
80020188-C,234,0.24772461437791898,788
80021070-C,1941,0.205436650754821,4216
80037918-C,1384,0.13786722046966,1129
80019570-C,112,0.110805220211857,327
80041123-C,882,0.130252989836982,6113
80038065-C,515,0.22713068287746102,875
80036692-C,692,0.062426507484905004,858
80040231-C,21,-0.025987913442665003,110
80037725-C,936,-0.075980301848294,1411
80042634-C,3,0.331031253121045,269
80040339-C,55,0.12972474811022197,180
50003279,6529,-0.011059888020126002,9100
30104782,229,0.157009340143022,434
50002105,15857,0.17180288178229902,19631
80010603-C,1732,0.28786911786939695,3899
80005749-C,315,0.17662954115016002,639
80025150-C,683,0.122842916985981,1955
80033713-C,784,0.11975996821067501,1480
80040099-C,319,0.318049954663297,761
80033930-C,143,0.295883352717725,593
80042594-C,54,0.16879094670759498,118
80020362-C,152,0.14674753395215198,1177
80037032-C,997,0.178813972298702,2075
80039460-C,164,0.088404667813379,328
80020267-C,704,0.320188917043695,1635
80018944-C,205,0.37507508885791796,93
80032991-C,222,0.16848776312881303,563
80010145-C,298,0.10204564008438001,692
80013053-C,129,0.213609041959466,412
80001065-C,294,0.171355225588259,549
80018865-C,431,0.16116206494285099,727
